player_id,player_display_name,position,team_2025,games,snap_pct,proj_pg,role_pg,vor_pg,vor_season,reliability,targets,target_share,air_yards_share,wopr,carries,rz_carries,rz_targets,i10_touches,rz_share,actual_td,xtd,td_oe,passing_tds,pts_league,pts_pub4,sixpt_gap,pts_xtd,pts_league_pg,pts_xtd_pg,sixpt_gap_pg
00-0037740,Garrett Wilson,WR,NYJ,7,0.870,11.396,12.635,1.088,18.488,0.583,59,0.354,0.563,0.925,0,0.000,4.000,1.000,0.033,4,1.944,2.056,0,81.500,81.500,0.000,69.165,11.643,9.881,0.000
00-0038618,Xavier Hutchinson,WR,HOU,16,0.575,4.947,4.887,-4.585,-77.940,1.000,57,0.112,0.132,0.260,3,1.000,7.000,4.000,0.050,3,2.968,0.032,0,80.500,80.500,0.000,80.310,5.031,5.019,0.000
00-0035535,Darius Slayton,WR,NYG,14,0.813,6.289,6.000,-3.242,-55.115,1.000,63,0.155,0.250,0.407,0,0.000,6.000,5.000,0.033,1,3.116,-2.116,0,80.300,80.300,0.000,92.994,5.736,6.642,0.000
00-0038621,DeMario Douglas,WR,NE,16,0.259,4.558,4.253,-4.973,-84.547,1.000,46,0.098,0.101,0.217,7,1.000,7.000,4.000,0.047,3,2.765,0.235,0,80.300,80.300,0.000,78.888,5.019,4.931,0.000
00-0036898,Davis Mills,QB,HOU,6,0.705,13.190,13.677,-3.787,-64.375,0.500,0,0.000,0.000,0.000,13,2.000,0.000,1.000,0.013,1,0.494,0.506,5,78.600,68.600,10.000,75.565,13.100,12.594,1.667
00-0040237,Tez Johnson,WR,TB,15,0.471,4.091,4.099,-5.440,-92.483,1.000,44,0.092,0.138,0.234,7,2.000,7.000,1.000,0.064,5,2.138,2.862,0,78.400,78.400,0.000,61.226,5.227,4.082,0.000
00-0037197,Isiah Pacheco,RB,KC,13,0.517,7.375,7.706,-2.456,-41.745,1.000,26,0.068,-0.006,0.098,118,20.000,4.000,9.000,0.129,2,4.137,-2.137,0,77.800,77.800,0.000,90.620,5.985,6.971,0.000
00-0033881,Evan Engram,TE,DEN,16,0.421,6.186,6.822,-1.798,-30.574,1.000,76,0.137,0.147,0.308,1,0.000,10.000,0.000,0.061,1,2.456,-1.456,0,77.800,77.800,0.000,86.535,4.862,5.408,0.000
00-0031610,Darren Waller,TE,MIA,9,0.450,6.637,6.758,-1.011,-17.180,0.750,34,0.146,0.221,0.374,1,0.000,7.000,5.000,0.050,6,2.949,3.051,0,76.700,76.700,0.000,58.395,8.522,6.488,0.000
00-0037112,Jake Tonges,TE,SF,10,0.332,6.369,6.285,-1.346,-22.879,0.833,46,0.122,0.079,0.238,0,0.000,7.000,5.000,0.036,5,3.070,1.930,0,76.300,76.300,0.000,64.719,7.630,6.472,0.000
00-0039491,Jalen Coker,WR,CAR,11,0.694,5.587,5.246,-3.615,-61.461,0.917,43,0.154,0.200,0.371,0,0.000,3.000,2.000,0.021,3,1.692,1.308,0,73.900,73.900,0.000,66.052,6.718,6.005,0.000
00-0033307,Kendrick Bourne,WR,SF,14,0.567,5.325,4.832,-4.207,-71.516,1.000,53,0.108,0.148,0.266,0,0.000,2.000,1.000,0.010,0,1.562,-1.562,0,73.600,73.600,0.000,82.974,5.257,5.927,0.000
00-0038619,Andrei Iosivas,WR,CIN,15,0.762,5.146,5.041,-4.386,-74.558,1.000,58,0.102,0.131,0.245,3,0.000,7.000,4.000,0.048,2,2.951,-0.951,0,73.400,73.400,0.000,79.108,4.893,5.274,0.000
00-0039342,Xavier Legette,WR,CAR,15,0.679,5.649,6.191,-3.883,-66.003,1.000,64,0.143,0.197,0.352,1,0.000,12.000,3.000,0.083,3,3.500,-0.500,0,71.800,71.800,0.000,74.798,4.787,4.987,0.000
00-0037801,KaVontae Turpin,WR,DAL,15,0.355,4.043,3.468,-5.488,-93.298,1.000,38,0.069,0.076,0.157,17,0.000,5.000,2.000,0.026,2,1.948,0.052,0,71.500,71.500,0.000,71.191,4.767,4.746,0.000
00-0039890,Adonai Mitchell,WR,NYJ,16,0.506,5.787,6.568,-3.745,-63.663,1.000,74,0.153,0.303,0.442,1,0.000,8.000,2.000,0.066,2,2.984,-0.984,0,71.400,71.400,0.000,77.302,4.463,4.831,0.000
00-0038104,Tyquan Thornton,WR,KC,12,0.390,4.631,4.092,-4.900,-83.308,1.000,37,0.090,0.275,0.328,0,0.000,4.000,2.000,0.022,3,1.697,1.303,0,71.300,71.300,0.000,63.480,5.942,5.290,0.000
00-0040162,Dylan Sampson,RB,CLE,15,0.265,5.140,5.350,-4.691,-79.739,1.000,40,0.087,-0.021,0.115,65,7.000,6.000,3.000,0.104,2,2.359,-0.359,0,71.100,71.100,0.000,73.257,4.740,4.884,0.000
00-0037837,Calvin Austin III,WR,PIT,14,0.535,4.973,5.309,-4.558,-77.493,1.000,55,0.131,0.255,0.375,0,0.000,4.000,1.000,0.024,3,1.861,1.139,0,70.700,70.700,0.000,63.868,5.050,4.562,0.000
00-0039916,Ricky Pearsall,WR,SF,9,0.781,8.480,7.888,-0.788,-13.404,0.750,53,0.180,0.318,0.492,2,0.000,4.000,2.000,0.020,0,2.040,-2.040,0,70.600,70.600,0.000,82.839,7.844,9.204,0.000
00-0031408,Mike Evans,WR,TB,8,0.656,10.419,11.510,0.592,10.062,0.667,62,0.243,0.348,0.609,0,0.000,9.000,5.000,0.064,3,3.481,-0.481,0,69.800,69.800,0.000,72.688,8.725,9.086,0.000
00-0033885,David Njoku,TE,CLE,11,0.639,6.108,6.433,-1.720,-29.243,0.917,48,0.125,0.091,0.251,0,0.000,9.000,3.000,0.072,4,2.836,1.164,0,69.800,69.800,0.000,62.816,6.345,5.711,0.000
00-0040584,Gunnar Helm,TE,TEN,16,0.526,4.757,4.854,-3.227,-54.861,1.000,55,0.107,0.080,0.216,0,0.000,8.000,3.000,0.079,2,2.754,-0.754,0,69.700,69.700,0.000,74.223,4.356,4.639,0.000
00-0028118,Tyrod Taylor,QB,NYJ,6,0.670,11.473,11.711,-4.645,-78.968,0.500,0,0.000,0.000,0.000,27,3.000,0.000,1.000,0.025,1,0.605,0.395,5,69.460,59.460,10.000,67.092,11.577,11.182,1.667
00-0033526,Samaje Perine,RB,CIN,15,0.351,4.839,4.968,-4.992,-84.863,1.000,21,0.041,-0.009,0.056,84,16.000,1.000,8.000,0.116,3,3.135,-0.135,0,69.400,69.400,0.000,70.209,4.627,4.681,0.000
00-0038976,Marvin Mims Jr.,WR,DEN,15,0.369,4.555,4.611,-4.977,-84.602,1.000,51,0.099,0.097,0.217,12,2.000,3.000,1.000,0.030,2,1.798,0.202,0,68.500,68.500,0.000,67.285,4.567,4.486,0.000
00-0040669,Isaac TeSlaa,WR,DET,14,0.396,3.169,2.986,-6.363,-108.167,1.000,27,0.057,0.120,0.170,0,0.000,11.000,3.000,0.058,6,2.599,3.401,0,67.900,67.900,0.000,47.494,4.850,3.392,0.000
00-0040736,Mason Taylor,TE,NYJ,13,0.811,6.653,7.182,-1.331,-22.630,1.000,65,0.172,0.138,0.355,0,0.000,8.000,3.000,0.066,1,2.865,-1.865,0,66.900,66.900,0.000,78.090,5.146,6.007,0.000
00-0033921,Chris Godwin Jr.,WR,TB,9,0.709,8.093,8.126,-1.079,-18.339,0.750,51,0.179,0.157,0.379,0,0.000,7.000,5.000,0.050,2,2.996,-0.996,0,66.500,66.500,0.000,72.477,7.389,8.053,0.000
00-0036309,Darnell Mooney,WR,ATL,15,0.819,5.981,6.556,-3.551,-60.363,1.000,72,0.162,0.280,0.439,0,0.000,8.000,3.000,0.058,1,3.144,-2.144,0,66.300,66.300,0.000,79.164,4.420,5.278,0.000
00-0033858,Jonnu Smith,TE,PIT,17,0.527,4.145,4.420,-3.839,-65.264,1.000,54,0.106,0.066,0.206,9,2.000,7.000,3.000,0.055,3,2.759,0.241,0,66.200,66.200,0.000,64.754,3.894,3.809,0.000
00-0035208,Olamide Zaccheaus,WR,CHI,14,0.536,6.215,6.943,-3.317,-56.387,1.000,65,0.147,0.115,0.301,4,0.000,12.000,3.000,0.069,2,3.538,-1.538,0,65.300,65.300,0.000,74.530,4.664,5.324,0.000
00-0036290,Cole Kmet,TE,CHI,16,0.714,4.123,4.218,-3.861,-65.645,1.000,48,0.096,0.096,0.211,0,0.000,6.000,2.000,0.034,2,2.068,-0.068,0,63.700,63.700,0.000,64.110,3.981,4.007,0.000
00-0032385,Sterling Shepard,WR,TB,13,0.562,5.618,5.738,-3.913,-66.527,1.000,53,0.127,0.134,0.284,4,0.000,7.000,2.000,0.050,1,2.438,-1.438,0,62.500,62.500,0.000,71.129,4.808,5.471,0.000
00-0038393,Dontayvion Wicks,WR,GB,13,0.446,4.758,4.945,-4.773,-81.143,1.000,46,0.128,0.169,0.310,1,0.000,4.000,1.000,0.024,2,1.681,0.319,0,60.800,60.800,0.000,58.887,4.677,4.530,0.000
00-0035100,Jake Browning,QB,CIN,5,0.734,12.536,13.362,-3.428,-58.274,0.417,0,0.000,0.000,0.000,9,2.000,0.000,1.000,0.014,1,0.483,0.517,6,60.740,48.740,12.000,57.638,12.148,11.528,2.400
00-0039798,Isaiah Davis,RB,NYJ,16,0.280,3.478,3.181,-6.352,-107.992,1.000,28,0.063,-0.003,0.092,43,9.000,1.000,1.000,0.083,1,1.127,-0.127,0,60.700,60.700,0.000,61.464,3.794,3.842,0.000
00-0035500,Greg Dortch,WR,ARI,12,0.336,4.039,4.038,-5.493,-93.378,1.000,33,0.068,0.012,0.110,7,3.000,7.000,1.000,0.061,4,1.977,2.023,0,60.600,60.600,0.000,48.465,5.050,4.039,0.000
00-0033955,Jeremy McNichols,RB,WAS,16,0.319,3.728,3.515,-6.103,-103.754,1.000,31,0.078,-0.006,0.113,44,5.000,2.000,3.000,0.046,1,1.601,-0.601,0,60.200,60.200,0.000,63.803,3.763,3.988,0.000
00-0040134,Pat Bryant,WR,DEN,13,0.477,5.403,5.383,-4.128,-70.184,1.000,49,0.110,0.162,0.278,0,0.000,8.000,4.000,0.049,1,2.876,-1.876,0,59.300,59.300,0.000,70.554,4.562,5.427,0.000
00-0033110,Tyler Higbee,TE,LA,10,0.555,5.636,5.536,-1.957,-33.269,0.833,36,0.110,0.066,0.211,0,0.000,8.000,4.000,0.040,3,2.831,0.169,0,58.600,58.600,0.000,57.584,5.860,5.758,0.000
00-0037746,Brian Robinson,RB,SF,17,0.167,3.757,3.816,-6.074,-103.255,1.000,12,0.021,-0.000,0.031,92,13.000,4.000,5.000,0.087,2,2.692,-0.692,0,58.500,58.500,0.000,62.650,3.441,3.685,0.000
00-0038558,Darnell Washington,TE,PIT,13,0.573,5.260,5.199,-2.724,-46.308,1.000,43,0.112,0.119,0.251,0,0.000,8.000,4.000,0.049,1,2.908,-1.908,0,57.900,57.900,0.000,69.351,4.454,5.335,0.000
00-0035644,Noah Fant,TE,CIN,13,0.379,3.944,3.927,-4.040,-68.681,1.000,41,0.092,0.037,0.163,0,0.000,4.000,3.000,0.027,3,1.959,1.041,0,57.800,57.800,0.000,51.552,4.446,3.966,0.000
00-0038128,Malik Willis,QB,GB,4,0.422,9.678,6.683,-3.695,-62.815,0.333,0,0.000,0.000,0.000,22,5.000,0.000,3.000,0.030,2,1.363,0.637,3,57.180,51.180,6.000,53.356,14.295,13.339,1.500
00-0033857,JuJu Smith-Schuster,WR,KC,17,0.572,3.814,3.696,-5.717,-97.196,1.000,45,0.086,0.060,0.171,0,0.000,9.000,3.000,0.048,1,2.714,-1.714,0,57.000,57.000,0.000,67.284,3.353,3.958,0.000
00-0034829,Mike Gesicki,TE,CIN,12,0.385,5.206,5.298,-2.778,-47.232,1.000,42,0.103,0.131,0.247,0,0.000,7.000,4.000,0.048,2,2.737,-0.737,0,56.700,56.700,0.000,61.125,4.725,5.094,0.000
00-0039066,Michael Mayer,TE,LV,13,0.618,5.326,5.620,-2.658,-45.187,1.000,50,0.137,0.131,0.297,0,0.000,6.000,3.000,0.053,1,2.378,-1.378,0,56.300,56.300,0.000,64.571,4.331,4.967,0.000
00-0030564,DeAndre Hopkins,WR,BAL,17,0.330,3.145,3.195,-6.387,-108.574,1.000,39,0.099,0.153,0.255,0,0.000,3.000,1.000,0.017,2,1.401,0.599,0,56.000,56.000,0.000,52.408,3.294,3.083,0.000
00-0029263,Russell Wilson,QB,NYG,6,0.543,10.393,10.057,-5.185,-88.150,0.500,0,0.000,0.000,0.000,18,7.000,0.000,3.000,0.039,0,1.496,-1.496,3,55.840,49.840,6.000,64.815,9.307,10.803,1.000
00-0040667,Matthew Golden,WR,GB,14,0.532,4.320,4.154,-5.211,-88.587,1.000,44,0.124,0.194,0.322,10,2.000,2.000,0.000,0.024,0,1.304,-1.304,0,55.500,55.500,0.000,63.324,3.964,4.523,0.000
