name,pos,team,bye,rank,adp,tier,mean_pg,floor_pg,ceil_pg,model_pg,repl_pg,games_proj,mean_season,floor_season,ceil_season,vor_season,bust_prob,injury_fade,confidence,x_games_1,x_snap_pct_1,x_target_share_1,x_td_oe_pg_1,x_pts_pg_1
Carnell Tate,WR,TEN,9,68,,7,9.809,6.158,13.664,10.773,9.941,14.079,138.101,32.257,232.291,-1.863,0.504,False,none,,,,,
Rhamondre Stevenson,RB,NE,11,69,,7,9.371,5.646,13.097,9.521,9.139,13.369,125.286,56.975,222.656,3.103,0.469,False,high,14.000,0.594,0.098,0.177,11.629
Chris Godwin Jr.,WR,TB,10,70,,7,8.849,6.234,11.534,7.964,9.941,14.079,124.579,43.124,196.080,-15.384,0.779,True,med,9.000,0.709,0.179,-0.101,7.389
TreVeyon Henderson,RB,NE,11,71,,7,9.371,4.446,14.605,8.096,9.139,13.369,125.286,39.232,248.288,3.103,0.462,False,high,17.000,,0.084,0.155,11.100
Michael Pittman Jr.,WR,PIT,9,72,,8,8.849,6.386,10.808,9.242,9.941,14.079,124.579,48.169,183.731,-15.384,0.804,False,high,17.000,0.855,0.206,0.064,9.553
Tony Pollard,RB,TEN,9,73,,8,9.139,3.095,11.152,9.060,9.139,13.369,122.183,21.078,189.580,0.000,0.750,False,high,17.000,0.625,0.076,0.023,9.959
Jakobi Meyers,WR,JAX,7,74,,8,8.375,4.220,9.620,9.072,9.941,14.079,117.917,30.615,163.539,-22.047,1.000,False,high,16.000,0.850,0.229,-0.171,8.644
Jordan Addison,WR,MIN,6,75,,8,8.375,4.557,11.559,8.870,9.941,14.079,117.917,33.982,196.495,-22.047,0.769,False,high,14.000,0.851,0.182,-0.033,8.150
Quentin Johnston,WR,LAC,7,76,,8,8.375,4.267,11.241,10.126,9.941,14.079,117.917,33.474,191.101,-22.047,0.814,False,med,13.000,0.769,0.200,0.241,11.208
Jayden Reed,WR,GB,11,77,,8,8.375,5.950,12.887,7.118,9.941,14.079,117.917,34.602,219.082,-22.047,0.655,True,low,5.000,0.411,0.171,0.002,7.800
George Kittle,TE,SF,8,78,,8,10.827,10.372,13.388,7.466,7.186,13.979,151.349,106.174,227.588,50.893,0.000,False,med,11.000,0.812,0.215,0.227,12.091
Wan'Dale Robinson,WR,TEN,9,79,,8,8.375,4.282,10.575,11.019,9.941,14.079,117.917,32.786,179.776,-22.047,0.899,False,high,16.000,0.907,0.303,-0.132,10.744
Josh Downs,WR,IND,13,80,,8,8.375,5.515,11.693,7.970,9.941,14.079,117.917,36.413,198.783,-22.047,0.716,False,high,16.000,0.587,0.175,-0.045,6.713
Rico Dowdle,RB,PIT,9,81,,8,9.139,3.690,11.417,7.072,9.139,13.369,122.183,29.629,194.083,0.000,0.705,False,high,17.000,0.561,0.110,0.013,11.576
Dak Prescott,QB,DAL,14,82,,8,22.734,21.366,27.837,16.816,20.185,15.231,346.249,211.191,473.235,38.819,0.000,False,high,17.000,0.951,0.000,-0.142,21.987
Stefon Diggs,WR,WAS,7,83,,8,7.966,4.392,9.575,9.087,9.941,14.079,112.153,28.991,162.783,-27.810,1.000,False,high,17.000,0.538,0.219,-0.072,9.871
Xavier Worthy,WR,KC,5,84,,8,7.966,5.362,13.561,7.154,9.941,14.079,112.153,31.352,230.537,-27.810,0.558,False,high,14.000,0.706,0.161,-0.126,6.350
Deebo Samuel Sr.,WR,SF,8,85,,8,7.966,4.541,11.501,8.505,9.941,13.663,108.838,28.355,195.524,-26.988,0.776,False,high,16.000,0.723,0.254,0.001,9.513
J.K. Dobbins,RB,DEN,10,86,,8,9.139,4.434,13.372,5.227,9.139,13.369,122.183,59.285,227.328,0.000,0.526,False,med,10.000,0.511,0.046,-0.042,11.040
Jayden Daniels,QB,WAS,7,87,,8,22.137,19.027,32.757,20.294,20.185,15.130,334.921,166.364,556.877,29.529,0.164,True,low,7.000,0.903,0.000,0.087,18.611
Jadarian Price,RB,SEA,11,88,,8,8.570,2.856,12.833,7.278,9.139,13.369,114.571,15.536,218.161,-7.612,0.630,False,none,,,,,
Matthew Stafford,QB,LAR,11,89,,8,22.137,20.011,28.311,17.619,20.185,15.091,334.070,152.474,481.279,29.454,0.021,False,high,17.000,0.985,0.000,-0.117,26.022
Matthew Golden,WR,GB,11,90,,9,7.966,5.142,11.676,7.011,9.941,13.663,108.838,20.787,198.500,-26.988,0.734,False,high,14.000,0.532,0.124,-0.107,3.964
Colston Loveland,TE,CHI,10,91,,9,9.059,6.950,9.891,6.587,7.186,13.979,126.641,56.611,168.153,26.185,0.080,False,high,16.000,0.645,0.166,0.053,8.506
Jalen Hurts,QB,PHI,10,92,,9,20.524,20.524,30.621,18.507,20.185,15.010,308.079,252.661,520.565,5.097,0.000,False,high,16.000,0.976,0.000,0.023,21.816
Brock Purdy,QB,SF,8,93,,9,20.524,19.922,27.661,19.163,20.185,14.805,303.858,93.418,470.240,5.027,0.114,True,med,9.000,0.978,0.000,0.156,24.153
Chuba Hubbard,RB,CAR,5,94,,9,8.570,4.975,12.990,9.408,9.139,13.369,114.571,31.331,220.831,-7.612,0.520,False,high,15.000,0.458,0.088,-0.040,7.360
Khalil Shakir,WR,BUF,7,95,,9,7.442,4.530,10.868,8.493,9.941,13.663,101.683,26.896,184.760,-34.143,0.854,False,high,16.000,0.598,0.211,-0.018,8.150
